Idx,kind_of_L1,kind_of_L2,num_of_logins,between_early,between_late
621,8,6,38,23,0
624,6,5,73,23,0
627,8,7,40,6,0
630,5,6,14,201,0
635,4,6,21,2,0
637,4,5,7,8,8
638,6,10,44,74,2
640,6,6,10,8,1
641,4,5,37,16,0
642,5,7,22,868,1
643,8,8,43,4,0
645,4,4,39,34,0
651,6,7,27,9,0
652,7,7,44,5,0
655,4,5,11,7,0
656,6,5,53,113,0
657,4,5,21,13,0
658,6,10,56,245,0
664,4,6,44,6,0
666,4,5,7,8,8
672,6,5,22,5,0
676,4,5,36,6,0
678,4,6,17,8,0
679,4,6,16,8,1
682,6,5,10,15,0
685,6,5,25,5,0
687,6,7,26,209,0
688,5,7,34,5,0
692,8,6,88,345,0
695,4,5,23,5,1
696,4,5,20,15,1
697,4,5,11,5,2
700,7,6,74,94,0
702,6,10,262,80,0
703,5,5,14,55,2
706,4,6,24,21,0
707,10,9,179,948,1
712,5,6,54,397,0
715,4,4,17,6,1
720,6,5,19,15,0
721,4,5,21,6,1
722,8,6,28,187,0
723,4,5,12,23,0
726,4,5,113,20,1
729,4,5,16,4,0
731,5,8,48,853,0
733,7,6,32,578,0
734,4,5,9,5,1
735,9,8,119,10,0
736,4,5,14,14,0
737,5,5,27,190,0
738,4,5,7,14,14
740,4,5,10,5,1
741,6,6,36,7,0
744,4,5,79,20,0
746,6,6,24,15,0
747,6,6,36,27,0
748,6,8,26,26,0
750,4,6,19,7,1
755,5,6,26,831,1
757,6,7,100,6,0
758,6,6,18,100,2
761,5,6,19,1037,0
763,6,5,19,82,0
768,4,6,19,4,0
769,4,6,11,5,2
773,5,5,28,4,0
775,6,5,60,9,1
777,8,7,17,7,1
778,7,7,37,72,0
780,4,5,11,6,1
782,6,7,24,7,0
783,6,7,32,825,0
785,4,5,47,13,0
786,4,5,12,14,0
787,6,5,23,6,0
789,4,6,45,7,0
791,6,5,13,3,0
795,6,6,49,4,0
797,4,5,11,3,0
802,8,6,96,31,0
803,8,8,29,8,0
805,7,7,66,223,0
808,7,7,42,27,0
815,6,7,31,3,0
816,6,8,21,8,0
817,4,6,22,3,0
824,6,6,48,10,0
827,6,5,15,46,2
828,4,5,10,30,1
831,5,6,24,4,0
835,6,10,28,5,0
836,6,5,17,4,0
842,6,7,44,838,0
845,4,5,14,20,1
847,4,6,27,10,0
849,4,5,11,10,0
850,5,6,20,176,0
851,7,7,37,4,0
855,7,6,29,8,0
857,8,7,34,70,0
858,6,6,17,4,0
859,4,5,27,10,0
867,4,5,16,2,0
869,4,6,9,5,0
875,6,5,46,10,0
877,8,7,52,124,0
881,7,7,46,263,1
887,5,6,27,3,0
890,4,7,18,3,0
891,4,5,31,3,0
894,4,5,23,7,0
895,4,5,8,11,11
898,4,5,13,4,0
899,4,5,32,19,0
900,4,5,12,2,0
901,4,5,15,16,0
905,6,6,25,4,0
907,4,6,22,7,0
914,4,5,12,3,0
916,4,4,12,148,0
922,6,8,66,640,0
924,4,5,82,48,0
930,6,6,18,4,1
932,4,5,12,10,2
937,7,5,36,451,0
938,6,8,31,3,0
945,4,5,9,8,1
948,5,5,46,22,0
950,4,5,15,2,0
951,6,6,26,246,0
952,4,4,10,14,1
955,6,6,11,6,0
958,5,4,68,26,0
959,4,5,16,4,0
960,4,6,60,30,0
961,4,6,24,4,0
962,6,7,41,650,1
963,4,6,12,10,0
970,6,6,18,4,0
972,4,6,12,6,3
974,4,5,20,19,2
976,4,4,12,7,0
978,4,6,14,3,1
980,4,5,12,4,2
982,4,5,12,4,1
983,8,7,39,7,0
985,6,6,25,3,0
988,4,5,15,3,0
989,4,5,12,6,4
990,5,5,17,6,0
991,4,5,24,9,0
992,6,7,24,3,0
1006,6,5,18,19,0
1007,6,5,39,6,0
1009,4,5,7,7,7
1014,4,5,10,7,5
1017,4,6,26,5,0
1020,4,6,31,8,0
1021,4,4,16,57,0
1024,6,5,11,5,0
1026,6,6,23,3,1
1027,5,5,14,129,2
1028,4,5,9,3,2
1029,6,6,16,3,0
1030,7,7,88,6,0
1032,6,6,25,17,0
1037,4,6,9,6,2
1040,5,5,43,23,0
1046,6,7,38,31,0
1047,5,6,64,63,0
1048,4,5,19,9,0
1051,6,6,32,115,0
1052,4,5,12,7,0
1053,6,8,29,76,0
1054,4,6,16,7,2
1059,4,5,7,9,9
1063,8,8,50,18,0
1065,4,5,34,5,0
1069,6,6,15,6,0
1076,4,6,27,6,0
1081,8,8,31,4,0
1084,4,5,40,5,0
1087,6,8,54,4,0
1088,4,5,8,5,1
1089,6,6,18,5,0
1092,4,6,15,4,0
1098,4,6,11,4,0
1100,4,6,36,483,0
1109,4,5,15,6,2
1110,4,6,32,5,0
1114,6,6,20,695,0
1115,8,7,29,2,0
1116,4,5,14,4,3
1119,4,7,35,369,0
1122,4,6,24,752,0
1123,4,5,10,8,0
1126,7,7,38,5,0
1128,4,5,32,61,0
1129,4,6,15,8,1
1131,5,5,19,5,0
1134,4,4,22,6,3
1140,8,8,32,11,1
1141,7,6,95,456,0
1148,5,6,16,49,0
1153,6,8,52,809,0
1154,4,6,8,6,0
1157,6,7,97,15,0
1159,4,5,26,15,0
1160,4,5,16,13,3
1161,4,5,11,5,1
1174,4,6,8,7,0
1176,4,6,33,19,3
1183,6,6,30,13,0
1184,8,7,41,4,0
1185,6,7,56,95,0
1186,5,7,39,299,0
1188,6,6,14,5,0
1191,6,6,37,27,0
1192,4,5,23,5,0
1200,4,6,27,7,1
1202,4,5,17,4,0
1203,4,5,18,12,0
1204,6,6,27,131,3
1205,4,5,17,10,0
1211,7,7,29,7,0
1213,6,8,38,812,0
1215,6,4,39,49,0
1221,7,11,81,106,3
1223,8,8,42,154,0
1229,5,4,21,392,1
1230,4,5,39,4,0
1232,4,7,16,6,0
1233,5,6,16,10,0
1234,7,9,49,479,0
1235,6,5,26,6,0
1239,6,5,11,5,1
1243,4,5,14,10,0
1246,4,6,12,10,5
1249,9,10,62,131,0
1250,4,5,14,13,2
1253,4,6,48,5,0
1256,6,8,125,764,0
1259,4,6,54,39,0
1264,9,6,48,84,0
1265,8,8,23,5,0
1270,4,5,9,6,6
1274,4,5,7,4,4
1275,4,5,18,40,3
1278,4,5,28,4,0
1280,4,5,43,52,0
1287,7,6,56,43,1
1288,4,5,42,10,0
1296,6,5,25,6,0
1298,6,9,36,2,0
1299,8,6,31,5,0
1300,4,5,16,5,2
1309,4,5,20,5,0
1311,4,5,10,5,1
1312,4,5,18,14,1
1313,4,5,11,4,2
1316,4,5,16,5,0
1323,4,6,11,11,0
1325,6,5,13,4,1
1330,6,8,37,8,0
1334,6,5,28,5,0
1336,4,5,15,8,0
1337,4,5,16,8,0
1340,5,6,38,9,0
1344,8,8,34,4,0
1345,6,7,33,8,0
1349,4,5,13,5,1
1351,6,6,31,293,7
1354,6,6,27,11,1
1355,4,6,12,4,4
1358,4,7,148,12,0
1362,4,6,19,7,1
1365,4,6,13,4,0
1366,6,6,63,14,0
1368,5,5,104,653,0
1369,4,4,9,4,0
1371,4,6,34,15,0
1373,6,5,27,4,0
1375,4,5,8,7,2
1377,4,5,15,85,0
1378,4,5,16,2,0
1380,9,8,35,4,0
1386,4,5,9,4,3
1390,4,6,12,4,0
1391,6,7,18,3,0
1393,4,5,8,3,2
1395,4,6,12,4,0
1403,4,5,8,3,1
1405,5,5,35,9,0
1412,6,6,50,8,0
1413,4,5,22,7,0
1417,6,5,20,28,0
1419,4,6,9,8,2
1420,6,9,83,199,0
1421,4,5,18,9,1
1422,4,6,12,9,1
1423,4,5,31,7,0
1428,4,5,22,11,1
1429,6,8,29,4,0
1432,5,6,17,15,0
1433,4,5,38,4,0
1437,4,5,13,3,1
1440,4,6,19,7,0
1442,4,5,27,3,0
1443,4,5,8,7,7
1444,4,4,43,65,0
1447,4,5,18,6,0
1448,4,5,38,4,0
1449,4,5,10,6,5
1454,8,10,90,219,0
1463,6,5,22,7,2
1466,4,5,8,3,1
1467,3,4,12,2,0
1471,4,5,10,7,1
1472,4,5,22,8,0
1474,6,6,14,106,0
1475,6,7,15,6,1
1476,4,6,25,3,0
1479,4,5,7,7,7
1481,5,6,34,6,0
1482,6,7,14,304,0
1484,9,6,39,112,1
1485,4,5,9,22,6
1487,6,9,84,787,0
1490,6,5,22,75,0
1492,7,7,38,9,6
1500,5,5,37,32,1
1506,4,6,23,9,0
1508,7,8,46,431,0
1511,4,5,8,10,1
1517,4,6,14,15,13
1518,4,6,26,23,0
1519,4,6,33,12,0
1520,4,5,8,9,7
1525,6,5,14,4,1
1527,4,5,35,27,0
1530,4,5,78,6,0
1533,6,7,57,7,0
1534,5,5,36,65,0
1535,6,8,36,5,2
1538,6,7,38,5,0
1539,4,5,38,38,0
1542,6,6,82,6,0
1544,6,5,73,155,0
1546,4,5,12,8,1
1550,4,6,24,36,0
1551,4,6,60,7,0
1555,4,5,25,5,0
1558,4,5,14,2,0
1559,8,7,127,99,0
1562,8,10,212,176,0
1568,6,6,36,9,0
1569,6,5,53,6,0
1570,6,5,22,113,2
1571,8,7,28,242,0
1574,4,5,19,8,0
1580,6,6,62,9,0
1587,4,6,17,6,0
1588,7,5,36,41,0
1597,4,5,8,9,1
1598,4,4,30,72,0
1599,7,9,541,417,0
1603,8,7,102,187,0
1606,6,6,46,40,0
1612,4,5,15,8,3
1613,4,5,16,5,0
1617,8,9,72,646,0
1619,4,5,15,7,3
1626,7,5,49,19,0
1629,4,6,20,9,0
1634,6,5,32,626,0
1638,6,6,108,65,1
1639,7,6,23,5,0
1640,4,5,24,6,0
1652,2,2,15,11,1
1653,4,6,43,6,0
1655,4,4,24,54,1
1666,4,5,18,5,0
1672,6,9,43,11,2
1673,5,4,19,658,0
1675,4,5,8,6,6
1677,4,5,7,8,8
1680,4,6,13,5,0
1682,4,6,10,8,1
1683,4,5,23,29,0
1685,4,4,7,58,5
1688,7,9,75,267,0
1693,4,6,9,5,5
1695,4,5,18,12,0
1696,5,5,7,8,8
1700,4,5,20,27,2
1701,8,6,28,4,0
1702,5,7,47,14,0
1703,4,5,215,1060,0
1711,6,5,40,6,0
1713,4,5,9,12,1
1719,4,7,14,6,0
1721,4,6,106,64,0
1726,4,5,21,45,0
1732,6,6,14,7,1
1738,4,7,34,5,0
1740,7,8,34,379,1
1742,4,4,24,42,7
1744,4,5,17,6,1
1746,4,5,16,7,0
1747,6,7,23,6,0
1749,4,5,45,16,1
1755,4,6,35,5,1
1757,8,6,55,11,0
1764,4,6,68,21,0
1765,4,5,21,4,1
1768,8,7,34,6,1
1771,6,6,32,19,3
1772,8,7,39,12,0
1773,6,5,14,4,1
1777,5,6,42,91,1
1783,4,6,20,5,0
1788,4,5,31,38,0
1791,6,7,26,5,0
1800,4,5,22,5,0
1802,6,6,12,11,10
1803,8,6,63,21,2
1805,4,6,9,5,0
1808,4,3,10,834,0
1809,4,6,20,9,0
1819,4,5,11,10,4
1820,4,6,18,31,1
1821,4,6,52,70,0
1822,4,6,15,4,0
1828,4,4,15,84,0
1834,8,6,34,5,0
1835,5,5,12,5,0
1837,6,5,33,5,1
1843,4,5,19,22,0
1844,4,5,32,35,0
1847,4,6,26,4,1
1850,4,6,14,5,0
1851,4,6,12,5,2
1853,5,5,14,5,0
1857,4,6,12,4,0
1859,6,8,37,4,0
1860,4,6,8,3,3
1863,6,6,29,5,1
1865,4,7,10,5,0
1867,4,5,9,5,4
1872,4,5,16,5,0
1873,4,6,42,4,0
1875,4,5,7,5,5
1880,4,5,7,11,11
1883,4,5,31,5,0
1884,7,7,26,4,0
1885,4,6,11,4,2
1886,6,5,18,5,0
1894,4,6,14,8,0
1895,6,5,44,53,0
1896,4,5,46,18,0
1909,6,4,15,127,1
1914,5,6,26,702,0
1916,6,7,60,5,1
1920,4,6,24,4,1
1921,4,5,8,10,10
1923,4,6,18,5,0
1926,4,5,11,3,0
1929,6,8,31,3,0
1931,5,5,8,7,7
1932,4,5,8,10,10
1933,4,6,12,8,1
1935,8,6,38,18,1
1936,7,6,30,4,0
1937,4,5,19,10,0
1938,6,7,48,10,0
1946,8,10,57,5,0
1950,4,5,17,7,1
1954,4,7,14,4,0
1955,4,4,22,94,0
1959,6,5,13,8,1
1964,4,6,68,199,0
1965,6,4,18,16,0
1967,4,5,81,39,0
1975,4,5,12,4,1
1978,8,7,59,5,0
1980,4,5,7,7,7
1981,4,4,25,52,0
1988,6,4,35,26,0
1989,6,5,24,489,3
1994,4,5,16,3,0
1997,4,5,18,6,1
2002,4,5,20,3,0
2004,4,6,11,16,2
2006,4,6,16,4,0
2008,4,5,9,12,4
2016,4,5,27,37,1
2018,4,6,16,36,0
2020,4,5,10,6,5
2022,4,5,12,4,1
2024,4,5,16,6,0
2027,5,5,22,159,0
2028,6,5,23,8,0
2029,5,5,29,8,1
2030,5,6,24,4,0
2032,4,5,11,7,1
2048,4,4,22,44,0
2052,4,5,7,2,2
2053,6,8,29,394,0
2062,7,7,18,452,0
2066,4,5,7,6,6
2067,8,6,15,76,0
2071,8,7,50,345,0
2076,4,5,8,3,3
2084,4,5,12,3,1
2086,6,5,64,7,0
2087,6,6,17,2,0
2090,5,5,28,3,0
2096,4,5,22,3,0
2098,7,7,42,7,0
2100,6,6,18,2,0
2107,4,6,15,9,0
2108,6,8,34,8,0
2110,4,7,18,5,0
2112,4,5,11,9,0
2116,4,5,11,3,0
2120,6,5,34,6,0
2121,4,6,9,2,1
2128,6,6,38,20,0
2135,6,8,18,3,0
2136,5,6,12,7,1
2138,4,7,35,6,0
2140,6,6,13,2,0
2141,4,5,15,6,0
2145,6,5,10,14,1
2146,6,8,38,4,1
2147,4,5,26,5,0
2148,6,5,17,13,1
2150,4,6,13,4,0
2154,4,5,8,6,6
2155,4,6,11,5,0
2158,6,6,18,6,0
2165,6,5,36,16,0
2166,5,5,12,2,0
2170,4,5,10,4,0
2172,4,6,11,5,1
2174,6,6,21,4,1
2176,4,6,31,7,0
2178,4,5,24,8,3
2180,4,6,35,6,1
2187,4,5,10,2,0
2190,6,6,13,2,0
2193,4,5,11,2,1
2195,4,6,20,4,0
2202,6,6,13,8,0
2203,7,8,53,559,0
2208,4,5,9,2,0
2209,6,5,36,6,0
2210,4,6,8,2,2
2213,6,4,33,140,0
2214,5,6,40,698,1
2218,4,5,15,5,0
2221,4,5,10,3,2
2223,4,6,11,3,1
2224,4,5,21,14,0
2228,5,5,37,4,0
2240,4,5,8,6,5
2241,4,5,9,5,1
2246,3,3,15,6,0
2248,4,5,10,5,5
2249,5,6,41,28,0
2257,4,6,12,16,0
2259,4,6,27,4,0
2264,4,5,12,5,4
2266,4,5,10,10,3
2269,4,5,9,5,0
2270,6,7,18,1,0
2271,4,5,9,6,5
2272,7,7,74,390,0
2278,4,5,17,3,1
2281,6,7,22,3,0
2283,4,5,7,3,3
2285,4,5,24,14,1
2288,6,6,20,14,1
2300,4,7,14,4,0
2303,4,5,10,4,2
2306,6,6,28,6,0
2310,4,5,19,3,0
2312,4,6,11,5,1
2317,4,5,7,5,5
2318,4,5,12,4,1
2321,4,6,16,3,0
2323,5,7,24,6,0
2324,4,6,18,3,0
2325,4,6,11,3,0
2326,4,5,13,4,1
2328,6,5,9,4,2
2335,5,7,111,12,0
2338,5,5,8,5,5
2339,8,8,337,150,0
2344,4,5,12,3,1
2349,4,5,7,4,4
2353,6,6,50,20,0
2363,4,8,21,8,0
2370,6,5,16,8,1
2372,7,8,82,227,0
2373,4,6,29,2,0
2376,4,5,13,5,0
2377,4,5,7,3,3
2382,4,6,18,36,0
2383,6,8,117,60,0
2384,6,7,30,22,0
2386,7,8,53,5,0
2391,4,6,15,4,0
2392,4,5,11,55,0
2393,8,8,65,165,0
2396,6,5,18,4,1
2397,7,8,38,589,0
2401,7,9,58,71,1
2407,4,5,10,9,1
2413,4,5,8,4,0
2415,4,5,9,10,0
2417,4,5,17,10,0
2420,4,6,13,4,1
2423,4,6,28,4,0
2427,4,5,9,3,0
2432,4,6,11,2,1
2434,4,5,7,2,2
2435,5,6,33,17,0
2437,6,5,9,1,0
2440,4,6,15,12,1
2441,4,6,19,5,1
2442,4,6,11,10,0
2443,5,6,14,5,0
2448,4,5,14,2,0
2449,8,9,304,177,0
2452,4,5,12,1,0
2456,5,5,13,43,0
2458,4,5,8,2,1
2459,8,7,23,3,0
2469,5,6,37,68,0
2472,4,6,10,2,1
2473,6,4,20,95,1
2476,5,5,30,12,0
2482,4,7,15,7,0
2486,4,5,23,20,2
2488,6,11,63,286,0
2489,4,6,9,2,1
2490,4,7,31,33,1
2491,8,8,24,3,1
2501,5,5,61,7,1
2504,4,6,52,12,0
2505,4,5,11,3,0
2510,4,6,15,7,0
2516,4,5,7,6,6
2519,4,6,14,2,0
2521,8,6,35,1,0
2524,6,6,28,20,1
2528,4,5,7,3,3
2529,4,5,19,4,1
2537,6,7,10,9,0
2540,4,6,17,2,0
2543,4,7,29,2,0
2545,4,5,39,4,1
2547,4,6,9,3,1
2548,4,6,18,5,0
2551,5,4,40,23,0
2554,5,5,8,1,1
2556,9,6,22,3,0
2557,7,6,39,553,2
2559,4,6,29,99,0
2563,4,5,11,2,0
2566,4,6,8,2,0
2568,4,6,11,2,1
2572,4,6,13,6,3
2579,4,5,11,3,0
2583,8,7,67,600,1
2591,4,5,20,6,0
2593,4,5,16,6,0
2600,5,7,37,755,0
2606,6,8,138,6,0
2608,5,5,18,2,1
2610,6,6,48,8,0
2611,4,6,24,33,1
2613,4,5,7,5,5
2616,4,5,12,1,0
2623,4,5,27,8,0
2627,4,5,8,1,1
2633,4,6,15,12,0
2636,4,7,11,2,0
2638,4,6,20,2,0
2644,4,5,10,2,0
2651,7,7,28,2,0
2652,4,5,33,7,0
2655,4,6,10,7,0
2660,6,9,245,53,0
2665,4,6,27,18,0
2671,5,5,7,1,1
2673,5,6,23,12,1
2679,4,9,18,210,0
2682,4,5,14,9,0
2683,4,6,12,6,0
2693,6,7,51,23,1
2696,4,7,13,8,0
2698,8,7,33,4,0
2699,4,5,7,4,4
2703,5,6,30,4,0
2705,4,5,7,1,1
2714,6,8,25,7,0
2719,6,7,23,12,0
2727,5,6,10,1,0
2730,4,6,13,4,1
2732,6,4,57,31,0
2737,8,7,27,1,0
2738,6,5,29,4,0
2741,4,5,16,4,0
2748,6,5,17,5,0
2750,4,5,34,7,0
2752,4,7,39,19,1
2754,4,5,9,4,3
2756,4,7,31,21,0
2760,4,6,62,12,0
2762,4,6,8,6,0
2763,5,5,12,3,0
2764,4,7,19,3,0
2766,6,5,40,341,0
2767,6,7,41,5,0
2771,8,7,105,150,1
2773,4,5,20,5,1
2775,4,6,12,4,1
2779,4,7,23,5,0
2781,4,6,22,3,0
2783,4,6,8,5,0
2785,7,4,38,89,0
2786,4,4,21,6,0
2787,5,6,9,8,0
2792,4,7,22,26,0
2799,4,5,12,3,3
2803,4,6,36,6,0
2804,7,8,39,169,0
2805,5,5,27,4,0
2806,4,6,10,3,2
2808,4,6,21,5,0
2813,6,6,13,3,0
2814,8,6,100,439,0
2815,4,5,9,4,0
2817,4,6,11,6,0
2818,4,5,11,4,0
2821,4,5,14,3,1
2823,4,5,12,5,1
2824,4,6,13,3,1
2829,4,6,10,4,1
2831,8,6,27,5,1
2832,4,5,17,5,0
2835,4,5,8,3,2
2836,4,8,69,21,0
2838,4,5,12,4,0
2839,6,5,16,5,0
2842,4,6,9,6,0
2843,6,4,19,54,1
2845,5,6,19,4,0
2853,4,5,7,2,2
2857,5,5,83,79,0
2858,6,6,125,5,0
2859,5,5,44,23,0
2864,4,6,9,4,1
2866,4,5,42,13,0
2867,7,6,18,9,0
2869,6,5,9,4,0
2870,4,5,11,5,2
2871,4,6,11,12,4
2875,8,8,26,129,1
2876,4,5,26,4,0
2877,6,5,21,4,0
2879,4,5,7,5,5
2881,4,5,8,9,7
2885,4,5,11,2,0
2895,4,6,8,3,0
2896,4,7,18,32,0
2898,5,6,28,4,0
2899,6,5,12,5,1
2910,4,6,25,5,0
2913,6,7,44,19,0
2916,4,5,10,2,0
2918,6,7,28,2,0
2921,4,7,40,8,0
2923,4,5,21,26,0
2926,4,5,9,3,0
2927,4,6,9,4,3
2932,4,6,8,2,0
2935,4,6,11,12,3
2938,4,6,9,2,0
2942,4,5,11,9,1
2944,4,5,13,6,0
2962,4,5,11,2,1
2963,4,5,50,7,0
2964,4,6,11,8,0
2967,4,6,12,3,0
2968,7,9,73,28,0
2969,4,5,7,2,2
2972,4,6,8,2,0
2973,4,5,8,2,1
2975,4,7,9,2,0
2976,5,5,24,15,1
2981,4,7,13,9,0
2982,4,6,8,3,0
2983,4,6,9,4,3
2991,6,7,12,1,0
2992,4,5,16,5,1
2994,5,6,30,334,0
2995,8,7,111,3,0
2997,4,6,30,13,0
3003,4,5,7,1,1
3005,4,6,8,1,0
3007,6,5,26,3,0
3010,4,6,14,3,0
3011,6,6,40,4,0
3013,4,5,7,2,2
3021,4,7,22,7,0
3025,6,7,26,3,0
3026,4,6,16,2,0
3027,4,6,13,3,0
3029,6,6,11,4,3
3032,4,7,17,7,0
3039,4,5,7,3,3
3040,6,5,15,2,0
3047,4,6,12,7,0
3048,4,5,9,3,0
3054,4,5,16,4,1
3055,4,5,12,2,1
3058,4,5,12,9,0
3059,4,5,17,3,0
3063,4,6,14,2,0
3066,4,7,18,4,0
3068,4,5,10,2,0
3069,6,7,25,1,0
3070,4,6,26,2,0
3072,8,7,22,17,0
3073,4,5,10,8,1
3074,7,9,969,760,1
3080,4,8,18,7,0
3088,5,5,8,2,2
3091,8,6,22,39,0
3097,5,7,22,2,0
3099,4,7,33,6,0
3101,6,6,26,5,0
3102,6,5,46,15,0
3109,4,5,22,3,0
3112,6,6,39,79,0
3120,4,5,15,7,1
3121,4,6,29,3,0
3122,7,9,72,339,0
3128,4,6,9,8,1
3130,4,5,9,1,1
3134,4,6,14,3,0
3136,4,6,10,6,6
3145,4,6,18,42,1
3147,6,6,11,22,0
3154,4,5,12,47,0
3159,5,7,41,1,0
3160,4,6,30,20,1
3161,6,5,11,3,0
3162,4,6,9,2,2
3165,4,5,11,3,1
3167,4,7,23,6,0
3169,4,5,8,7,1
3173,4,7,11,2,0
3174,7,8,23,6,1
3177,4,5,31,2,0
3184,8,8,50,156,0
3187,4,5,32,6,0
3188,4,6,11,6,0
3190,4,7,36,27,0
3193,6,6,24,24,0
3196,5,7,221,23,0
3198,7,6,25,2,0
3204,4,7,29,3,0
3208,4,7,18,36,0
3209,4,6,9,1,0
3211,6,6,22,8,1
3215,4,6,24,5,0
3217,6,6,27,29,0
3218,4,6,14,5,0
3225,4,8,11,2,0
3227,6,7,20,2,1
3228,7,9,62,20,0
3231,6,7,17,31,0
3233,6,5,16,7,1
3234,5,6,39,24,0
3235,4,8,13,2,0
3236,4,6,8,5,0
3238,6,8,33,76,0
3239,4,6,24,12,0
